,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,snap_id,maven_id,maven_url,dnf_id,yay_id,new_addition
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-08-06 12:14:15.000000,2024-08-02 03:16:13,1565.0,8.0,692.0,116.0,335.0,61.0,145.0,4812.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,6.0,165.0,57.0,205.0,,3.0,2265.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,7.0,241.0,92.0,199.0,4.0,5.0,3574.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,7.0,241.0,92.0,199.0,4.0,5.0,3574.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,7.0,241.0,92.0,199.0,4.0,5.0,3574.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,7.0,241.0,92.0,199.0,4.0,5.0,3574.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-08-19 12:58:28.000000,2024-08-19 09:45:58,77258.0,3982.0,21378.0,1744.0,89261.0,13704.0,30515.0,81442.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5053.0,56,True,2024-07-24 18:39:28,2.4.0,54.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],53288.0,33865128.0,508070.0,508070.0,https://pypi.org/project/torch,33204039.0,https://anaconda.org/pytorch/pytorch,2024-07-23 12:40:36.851,23118543.0,1.0,,,,,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-08-19 13:04:46.000000,2024-08-19 12:55:48,168500.0,3665.0,72531.0,7610.0,33769.0,1790.0,37850.0,187301.0,An Open Source Machine Learning Framework for Everyone.,4660.0,55,True,2024-07-11 16:28:57,2.17.0,100.0,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,18996690.0,400461.0,400461.0,https://pypi.org/project/tensorflow,18155699.0,https://anaconda.org/conda-forge/tensorflow,2024-07-24 18:34:52.924,4861038.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2024-08-19 12:48:42.692149,2517.0,77887690.0,,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-08-19 13:08:56.000000,2024-08-19 11:46:59,16624.0,688.0,24993.0,1117.0,16942.0,974.0,14522.0,130727.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2757.0,52,True,2024-08-06 18:39:34,4.44.0,122.0,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,33224225.0,204809.0,204809.0,https://pypi.org/project/transformers,33184640.0,https://anaconda.org/conda-forge/transformers,2024-08-07 03:52:55.663,1939677.0,1.0,,,,,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-08-19 12:25:06.000000,2024-08-19 09:16:22,31607.0,285.0,24505.0,2140.0,17596.0,1575.0,9509.0,59203.0,scikit-learn: machine learning in Python.,3162.0,52,True,2024-07-03 09:17:35,1.5.1,51.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1016.0,73721668.0,862135.0,862135.0,https://pypi.org/project/scikit-learn,73128086.0,https://anaconda.org/conda-forge/scikit-learn,2024-07-03 09:49:53.256,30272216.0,1.0,,,,,,,,,,,,,,,,,,,,
